id_registro,volumen_mb_sesion,frecuencia_dia,hora_predominante,duracion_seg,destino_externo,puerto_no_estandar,etiqueta
H0001,130.50222855780882,238.67320007146054,4.436196526146941,30.63852549081167,1,1,maliciosa
H0002,23.40570634000166,97.87650715334792,10.999051808402669,33.587063916150214,1,0,benigna
H0003,195.31988822558094,447.11202507333263,0.6757917428856404,53.82770528822428,1,0,maliciosa
H0004,4.983132598894258,87.47820949314661,13.174905450951988,40.64621065941171,1,0,benigna
H0005,11.518562395726505,81.29017936597407,15.625347409742432,72.6871849584247,0,0,benigna
H0006,33.682938224090165,9.370617471966241,7.428071519738706,54.2165589092783,0,0,benigna
H0007,363.7841175455035,35.32898717329326,6.109941974925395,44.028608239076036,1,1,maliciosa
H0008,16.434656423865324,105.22551104570255,15.197502347683242,79.75577005506292,0,0,benigna
H0009,80.34351259618029,66.0669057108602,12.084189172092003,181.15826075563444,0,0,benigna
H0010,113.26662648336423,82.01946027306127,3.0476673104984906,6.695779467468569,1,0,maliciosa
H0011,518.7409538971451,479.97670457264223,23.0,18.743526645504367,0,1,maliciosa
H0012,110.57066246716731,142.8566880719625,12.306328794322448,103.35926784299,1,0,benigna
H0013,113.13841567634461,296.57525256445723,4.462012838270888,21.222962746788017,0,1,maliciosa
H0014,694.8735986612885,423.8798121451372,5.655306251689928,35.08321437430024,1,0,maliciosa
H0015,56.46382177666014,108.86195296457763,13.660832079500675,77.51527847045264,1,0,benigna
H0016,422.5717606881667,165.10549042568562,3.601741327851621,14.729706305502301,1,1,maliciosa
H0017,49.419946461568735,59.945089629755344,13.30357290012611,70.64504300397493,0,0,benigna
H0018,233.57562975661438,188.59764863458219,23.0,49.60412421320283,0,1,maliciosa
H0019,366.4154257828843,244.65648538290864,0.3574120999448813,70.99383125175018,1,0,maliciosa
H0020,59.95421114875227,68.5917491592995,11.628183244845673,124.98085640349827,0,0,benigna
H0021,40.209693554613786,93.22278105998542,9.85213967987386,52.20844784066905,0,0,benigna
H0022,51.423956160879406,56.329194152417,9.600033856546526,189.90653355387838,1,0,benigna
H0023,76.4829568588506,47.08193314841248,8.995915886187074,81.53586339371554,0,0,benigna
H0024,33.87328509142277,37.331250740134564,9.478695480993526,144.60623624250235,0,0,benigna
H0025,194.16153788251682,80.46767603839834,1.334057584606663,32.585666836685576,1,0,maliciosa
H0026,35.23794022061455,95.51743706644288,13.592073342919987,51.83271965226226,0,1,benigna
H0027,59.10231752336574,123.38905131541227,8.005950881680485,136.32988657003804,1,0,benigna
H0028,265.1356487028529,87.39471562821086,2.0922717742904164,53.08741037980232,1,0,maliciosa
H0029,57.96260683080976,12.306124540282319,10.813994531828389,169.89837716576767,1,1,benigna
H0030,10.984461678109142,94.65098637635336,4.740978099598846,16.335224797201676,1,1,maliciosa
H0031,60.99025455320793,94.71829919787038,13.493690151761653,31.593781467667,0,0,benigna
H0032,615.9385740748912,150.68320301487978,1.8268388720481448,26.049915253501442,0,1,maliciosa
H0033,92.68870421125312,37.480481786148815,13.419345066985537,89.59811284124312,0,1,benigna
H0034,42.814527723945574,100.07698322359673,13.504573038068182,176.4417074156558,0,0,benigna
H0035,60.811656915617824,126.51706836862321,16.33436195583632,219.4334777791206,0,0,benigna
H0036,75.93387583041213,22.73477775547689,14.575640539795643,145.44904981698133,1,0,benigna
H0037,43.515156699194705,30.832166474572574,4.685856894383756,113.026352571486,1,0,benigna
H0038,225.8624892928306,402.6104868705369,0.0,30.200381166244863,1,1,maliciosa
H0039,38.39233522635889,88.38706568693449,14.437593091780288,90.9502294314714,0,0,benigna
H0040,63.499292372838696,30.38400085843724,11.356608303255005,62.17649497289958,0,0,benigna
H0041,421.6997430326647,206.5646416671595,3.087137095311957,18.219851000869717,1,1,maliciosa
H0042,76.34300481231888,31.827777930946063,9.937944549610817,100.93253161450272,0,0,benigna
H0043,24.647516421852334,61.96543248363172,13.806457051325888,183.06814257491493,0,0,benigna
H0044,125.40536361576372,177.4172478884252,23.0,9.612872151856827,1,0,maliciosa
H0045,390.9236084955004,378.38253970947704,1.1099884973786365,2.276607546377239,1,0,maliciosa
H0046,54.82754810125117,135.93767172596776,10.006992279619832,122.7747295621881,1,0,benigna
H0047,92.14303458352867,114.01597267749,2.002605453785255,13.829669980847932,0,1,maliciosa
H0048,5.719502933068021,64.21901570492561,11.615021244418003,33.61770838822143,0,0,benigna
H0049,38.025297152842846,128.48844510622177,17.496115038596425,240.01741931992908,1,0,benigna
H0050,649.5930630126437,241.21321983036088,23.0,44.982406027823565,1,1,maliciosa
H0051,78.78515939923508,36.95574053596526,10.035704105962527,53.54195251342628,1,0,benigna
H0052,51.72682229466699,34.90895414168982,13.004966447929839,96.78426197451687,0,0,benigna
H0053,52.948089585723515,79.02879426436263,5.454226197555945,134.60375755565587,1,0,benigna
H0054,59.84131136973471,66.70941369567768,15.67871777126313,87.57234192253247,1,1,benigna
H0055,64.98892357132955,67.8598540728944,14.205229808287783,75.34085664463053,0,0,benigna
H0056,96.30933578015035,92.58880916579793,8.478025781568679,123.01755391599914,0,0,benigna
H0057,797.9718404465301,146.15675703057158,22.66182207789838,42.97867315030664,0,0,maliciosa
H0058,51.531273477280926,103.86720873736542,14.48204251546603,99.50700389826515,0,0,benigna
H0059,28.025494673587197,3.346036890400505,13.03315934522977,179.11212785137525,0,0,benigna
H0060,61.76224902307138,100.07577490312774,23.0,3.508185931230038,1,1,maliciosa
H0061,26.16629706713378,100.43556760660093,12.285487257169024,27.820025062171453,0,0,benigna
H0062,70.16277222268039,49.08832194344655,5.711198367014182,45.22483112146484,0,1,benigna
H0063,219.43675537264335,7.593141178225153,3.9364995870536403,28.407467255001276,1,0,maliciosa
H0064,507.39924967365437,268.48435857083564,21.759725905405958,37.89720916506515,1,1,maliciosa
H0065,444.6971155574009,201.06359977334384,1.494504674632836,42.770698452696735,1,0,maliciosa
